快捷键 	功能
ctrl+shift+] 	不折叠
ctrl+k, ctrl+1 	按层级折叠(代码），数字是层级数
ctrl+k, ctrl+2 	按层级折叠(代码），数字是层级数
ctrl+k, ctrl+3 	按层级折叠(代码），数字是层级数
ctrl+k, ctrl+4 	按层级折叠(代码），数字是层级数
ctrl+k, ctrl+5 	按层级折叠(代码），数字是层级数
ctrl+k, ctrl+6 	按层级折叠(代码），数字是层级数
ctrl+k, ctrl+7 	按层级折叠(代码），数字是层级数
ctrl+k, ctrl+8 	按层级折叠(代码），数字是层级数
ctrl+k, ctrl+9 	按层级折叠(代码），数字是层级数
ctrl+k, ctrl+0 	unfold all
ctrl+k, ctrl+j 	unfold all
ctrl+k, ctrl+t 	fold tag attributes
context menu 	context menu
alt+c 	toggle case sensitive
alt+r 	toggle regex
alt+w 	toggle whole word
alt+a 	toggle preserve case
// 查找面板的按键绑定
enter 	向后查找
shift+enter 	向前查找
alt+enter 	查找全部
// 替换面板的按键绑定
enter 	查找下一个
shift+enter 	查找前一个
alt+enter 	查找全部
ctrl+alt+enter 	替换全部
// Incremental find panel key bindings
enter 	hide panel
shift+enter 	find prev
alt+enter 	find all
